ORF,Ribo_Prints,RNA_Prints,length
NM_001077619,38,53,5068
NM_001077620,1,0,1994
NM_001077621,11,14,1605
NM_001077624,14,5,2133
NM_001077628,145,110,1928
NM_001077637,29,16,3667
NM_001077653,77,10,1824
NM_001077654,4,3,2005
NM_001077657,1,1,1810
NM_001077663,90,36,4063
NM_001077664,74,47,3835
NM_001077665,24,14,2772
NM_001077690,55,33,6137
NM_001077691,64,60,6435
NM_001077692,52,75,6414
NM_001077700,4,27,5551
NM_001077701,21,14,5407
NM_001077702,6,6,3815
NM_001077703,10,10,3741
NM_001077704,16,18,3597
NM_001077706,1,2,4483
NM_001077710,3,1,3963
NM_001078,1,0,3203
NM_001078166,1290,551,5643
NM_001078170,29,6,5502
NM_001078171,810,190,1243
NM_001078172,509,60,1259
NM_001078173,579,77,2033
NM_001078175,328,148,2290
NM_001078177,340,144,2485
NM_001078645,155,66,2293
NM_001078650,9,9,894
NM_001078651,9,9,912
NM_001079512,3,1,3339
NM_001079514,233,90,6293
NM_001079515,191,64,2014
NM_001079516,14,7,652
NM_001079518,620,270,3698
NM_001079519,69,16,3256
NM_001079520,34,10,3750
NM_001079521,21,20,4733
NM_001079522,31,18,4704
NM_001079524,1643,621,3318
NM_001079525,1770,574,3339
NM_001079526,9,4,9492
NM_001079528,36,15,718
NM_001079533,4,2,3092
NM_001079534,2,0,3077
NM_001079535,2,3,3178
NM_001079536,19,10,1249
NM_001079537,43,32,3351
NM_001079539,652,321,1794
NM_001079559,569,109,5147
NM_001079653,30,6,3112
NM_001079668,40,9,2181
NM_001079669,47,32,3630
NM_001079670,5,10,3564
NM_001079673,240,79,6286
NM_001079675,4,4,2430
NM_001079684,63,77,2743
NM_001079685,77,104,2722
NM_001079691,5,0,3039
NM_001079802,20,30,7456
NM_001079803,681,29,3590
NM_001079804,701,40,3510
NM_001079808,1,0,1383
NM_001079809,203,249,1689
NM_001079811,271,104,2500
NM_001079812,370,205,5763
NM_001079815,5,2,2563
NM_001079817,126,51,9023
NM_001079818,98,18,5680
NM_001079823,4,0,9680
NM_001079827,1,0,823
NM_001079839,89,42,2068
NM_001079840,36,16,1852
NM_001079841,36,27,1897
NM_001079842,42,15,1915
NM_001079843,71,2,7959
NM_001079846,508,43,10082
NM_001079855,95,49,3302
NM_001079858,1,0,4853
NM_001079859,3,0,4811
NM_001079860,2,0,4787
NM_001079862,41,31,625
NM_001079863,17,9,740
NM_001079864,193,78,3364
NM_001079866,261,104,1454
NM_001079867,52,87,4347
NM_001079870,35,0,3883
NM_001079871,39,7,3859
NM_001079872,421,187,5182
NM_001079874,10,6,3108
NM_001079877,147,56,5468
NM_001079878,3,0,3794
NM_001079880,188,31,3322
NM_001079881,156,20,3186
NM_001079882,99,17,2923
NM_001079910,4,1,5444
NM_001079935,5,12,1020
NM_001080,179,75,5131
NM_001080114,6,2,4968
NM_001080116,1,0,1659
NM_001080121,21,12,2735
NM_001080122,24,13,2731
NM_001080123,30,6,2604
NM_001080124,9,12,2747
NM_001080125,9,4,2935
NM_001080209,6,9,1920
NM_001080379,6,0,1545
NM_001080383,66,109,7640
NM_001080391,9,12,5455
NM_001080392,149,150,7296
NM_001080393,32,41,1544
NM_001080394,73,51,3380
NM_001080395,32,12,5311
NM_001080396,1,0,3859
NM_001080398,476,187,7391
NM_001080400,4,1,6353
NM_001080401,13,12,1714
NM_001080407,17,23,2944
NM_001080408,2,0,3197
NM_001080409,11,9,7881
NM_001080410,50,23,6928
NM_001080412,34,15,8384
NM_001080414,40,14,7543
NM_001080415,552,221,7464
NM_001080416,33,18,5192
NM_001080417,284,114,6087
NM_001080418,15,3,3856
NM_001080419,248,45,3863
NM_001080421,9,9,9838
NM_001080423,3,9,7720
NM_001080424,287,21,6704
NM_001080425,178,111,1282
NM_001080427,2,0,5845
NM_001080429,193,8,4185
NM_001080431,39,13,6981
NM_001080432,184,87,4292
NM_001080434,64,10,4972
NM_001080435,76,30,3854
NM_001080436,42,9,2204
NM_001080437,23,2,6834
NM_001080439,1,0,4111
NM_001080440,1,0,1434
NM_001080448,42,15,3677
NM_001080449,94,34,4267
NM_001080450,55,47,6660
NM_001080452,75,73,2076
NM_001080453,1143,85,6974
NM_001080456,2,0,1626
NM_001080457,71,27,2957
NM_001080458,32,8,1617
NM_001080460,2,0,1824
NM_001080461,39,7,1596
NM_001080463,252,108,13699
NM_001080467,18,5,9520
NM_001080469,249,46,2990
NM_001080470,81,26,5080
NM_001080471,35,1,4866
NM_001080472,21,4,958
NM_001080475,37,43,9807
NM_001080477,90,51,10894
NM_001080479,26,8,6352
NM_001080480,65,11,4319
NM_001080481,33,19,6386
NM_001080482,14,1,2931
NM_001080485,100,84,6320
NM_001080488,1,0,1485
NM_001080491,34,47,4517
NM_001080493,18,8,2459
NM_001080494,8,12,2743
NM_001080495,762,115,10570
NM_001080496,86,29,1717
NM_001080497,67,31,6210
NM_001080501,118,68,937
NM_001080503,4,3,1063
NM_001080504,1,2,4283
NM_001080505,12,6,1971
NM_001080506,4,2,1888
NM_001080508,91,25,6066
NM_001080509,1,0,5562
NM_001080510,23,16,1138
NM_001080512,36,16,5471
NM_001080517,282,177,6846
NM_001080521,1,0,2684
NM_001080522,29,14,5240
NM_001080527,1,0,6715
NM_001080529,27,6,4184
NM_001080533,116,155,4404
NM_001080537,5,6,1584
NM_001080539,13,14,3685
NM_001080541,183,109,11415
NM_001080542,86,53,3862
NM_001080543,96,64,3624
NM_001080546,5,1,4037
NM_001080547,1,0,1408
NM_001080554,1,4,2761
NM_001080744,3,0,5727
NM_001080745,1,1,5685
NM_001080779,481,172,4952
NM_001080790,4,0,1814
NM_001080791,33,4,1920
NM_001080792,34,6,1710
NM_001080821,19,5,2588
NM_001080825,170,368,7510
NM_001080826,31,7,4714
NM_001080830,1,0,1778
NM_001080849,61,11,746
NM_001080850,2,4,3098
NM_001080855,186,45,3793
NM_001080950,426,197,4721
NM_001080951,8,4,3279
NM_001080952,12,13,3420
NM_001080953,10,3,3374
NM_001080954,14,13,3373
NM_001080955,11,7,2728
NM_001080956,14,2,2912
NM_001080975,16,12,7950
NM_001080976,60,48,4005
NM_001081,5,1,11933
NM_001081003,97,58,1437
NM_001081004,121,36,1305
NM_001081450,6,8,2825
NM_001081461,178,38,5423
NM_001081491,219,45,4147
NM_001081492,2,0,3894
NM_001081550,335,97,5610
NM_001081559,126,72,1751
NM_001081560,13,2,2859
NM_001081562,20,6,2855
NM_001081563,15,2,3243
NM_001081573,3,0,4750
NM_001081638,1,0,2879
NM_001081639,1,0,2879
NM_001081640,3816,1311,13415
NM_001081686,4,0,2965
NM_001081753,1,0,3684
NM_001082480,30,22,4087
NM_001082486,210,65,2066
NM_001082487,260,64,2018
NM_001082534,1,0,2935
NM_001082537,92,40,2009
NM_001082538,81,32,2024
NM_001082575,3,0,2990
NM_001082576,48,27,6965
NM_001082577,53,26,6937
NM_001082578,121,40,6937
NM_001082579,130,51,6934
NM_001082619,5,4,1248
NM_001082959,348,47,2613
NM_001082968,56,8,5808
NM_001082969,23,36,3183
NM_001082970,25,50,3738
NM_001083,20,16,6989
NM_001083112,57,51,6029
NM_001083113,73,41,1905
NM_001083314,347,174,2403
NM_001083535,82,20,2902
NM_001083537,28,2,2438
NM_001083538,519,44,3440
NM_001083585,327,229,5830
NM_001083588,91,36,1731
NM_001083589,79,29,1585
NM_001083590,339,130,2905
NM_001083591,24,12,8036
NM_001083592,39,3,2292
NM_001083600,119,37,2628
NM_001083601,103,38,2678
NM_001083602,8,3,8051
NM_001083603,9,2,7897
NM_001083604,8,2,7661
NM_001083605,6,3,7644
NM_001083606,7,3,7743
NM_001083607,9,3,7817
NM_001083608,166,136,1477
NM_001083612,40,14,848
NM_001083613,110,175,999
NM_001083614,66,67,3962
NM_001083617,164,55,6658
NM_001083621,158,59,8992
NM_001083625,24,32,11243
NM_001083885,70,4,2889
NM_001083893,86,58,4222
NM_001083899,7,4,2266
NM_001083907,124,346,3214
NM_001083908,70,37,2819
NM_001083909,7,0,4184
NM_001083913,59,98,4109
NM_001083914,370,82,3441
NM_001083926,103,95,2419
NM_001083946,117,32,1917
NM_001083953,185,66,6326
NM_001083956,37,60,4843
NM_001083961,295,74,4745
NM_001083962,70,5,8332
NM_001083963,45,17,2816
NM_001083964,36,45,2706
NM_001083965,90,23,2841
NM_001084,338,96,2977
NM_001084392,885,232,620
NM_001084393,780,162,1635
NM_001085049,1,7,4013
NM_001085347,69,23,1555
NM_001085354,126,77,3796
NM_001085365,1124,542,693
NM_001085366,33,21,1372
NM_001085367,19,17,1412
NM_001085368,29,65,4670
NM_001085372,158,82,1950
NM_001085375,33,13,4126
NM_001085377,68,33,8679
NM_001085384,11,6,6914
NM_001085399,22,4,1327
NM_001085400,46,25,3618
NM_001085411,75,45,3884
NM_001085423,2,5,631
NM_001085425,141,24,4210
NM_001085426,182,33,4162
NM_001085427,74,25,4117
NM_001085428,94,11,3925
NM_001085429,5,18,3390
NM_001085430,25,6,2012
NM_001085437,1,0,2525
NM_001085447,4,2,2169
NM_001085451,10,16,2217
NM_001085454,192,94,3760
NM_001085457,12,12,1719
NM_001085458,13,11,6350
NM_001085459,13,15,6332
NM_001085460,16,10,6172
NM_001085461,22,15,6245
NM_001085462,11,10,6053
NM_001085463,15,8,5869
NM_001085464,11,6,5851
NM_001085465,15,8,5788
NM_001085466,16,7,5782
NM_001085467,11,7,5837
NM_001085468,13,8,5764
NM_001085469,8,8,5692
NM_001085471,72,88,7852
NM_001085476,8,0,2725
NM_001085481,148,12,832
NM_001085486,29,12,2115
NM_001085487,56,86,7768
NM_001086521,389,152,560
NM_001087,531,160,1832
NM_001088,1,0,1026
NM_001089,240,63,6623
NM_001089591,141,169,538
NM_001090,219,88,3350
NM_001091,13,0,2436
NM_001092,203,86,5063
NM_001093,57,35,9249
NM_001093725,86,74,6124
NM_001093726,26,11,2174
NM_001093729,8,0,2817
NM_001093755,77,29,3103
NM_001093756,112,38,3082
NM_001093767,259,219,984
NM_001093771,58,58,3860
NM_001093772,59,36,5164
NM_001094,2,0,2690
NM_001095,125,79,3856
NM_001096,1576,299,4353
NM_001097,4,1,1370
NM_001097577,16,4,742
NM_001097590,54,40,1302
NM_001097599,51,19,1795
NM_001097600,33,10,1646
NM_001097612,121,35,1966
NM_001097613,103,57,2012
NM_001097615,607,347,1680
NM_001097620,3,2,6276
NM_001097633,46,11,5478
NM_001097634,20,21,5974
NM_001097635,15,20,5514
NM_001097636,7,15,5607
NM_001097638,7,10,3089
NM_001097640,1,0,2188
NM_001097642,1,0,1603
NM_001098,597,35,2741
NM_001098169,1,0,702
NM_001098175,9,0,12615
NM_001098201,4,6,2644
NM_001098202,52,5,3054
NM_001098204,234,74,2632
NM_001098205,207,69,2672
NM_001098206,210,72,2649
NM_001098207,211,65,2676
NM_001098208,231,59,2755
NM_001098209,3165,646,3415
NM_001098210,3244,673,3256
NM_001098212,1,1,4278
NM_001098213,1,1,4558
NM_001098268,6,0,4060
NM_001098270,72,41,4971
NM_001098272,391,139,5450
NM_001098398,663,338,5666
NM_001098402,118,43,7479
NM_001098403,72,45,6876
NM_001098414,85,100,8247
NM_001098416,77,17,4190
NM_001098424,31,12,4968
NM_001098426,481,256,2770
NM_001098475,1,0,2529
NM_001098477,206,110,6467
NM_001098478,33,9,1008
NM_001098479,71,22,1574
NM_001098482,152,5,6992
NM_001098483,56,29,699
NM_001098484,22,6,7693
NM_001098491,2,0,2366
NM_001098492,2,0,2327
NM_001098494,1,0,2267
NM_001098495,2,1,2228
NM_001098496,2,0,2225
NM_001098497,22,9,5959
NM_001098498,38,4,5776
NM_001098500,6,0,6128
NM_001098502,76,52,1434
NM_001098503,16,7,3174
NM_001098504,1660,1071,4796
NM_001098506,1,0,1359
NM_001098507,668,201,2323
NM_001098509,259,100,4730
NM_001098510,43,18,2672
NM_001098511,208,41,4161
NM_001098512,47,9,6694
NM_001098514,2,0,1549
NM_001098515,1,0,2283
NM_001098517,119,24,4223
NM_001098520,118,83,1478
NM_001098521,109,48,1406
NM_001098522,55,66,1688
NM_001098523,47,22,773
NM_001098525,322,80,3739
NM_001098531,1,3,6219
NM_001098532,3,3,5983
NM_001098533,21,17,1742
NM_001098534,216,25,3644
NM_001098536,485,177,3190
NM_001098537,2,0,4842
NM_001098540,50,23,4614
NM_001098576,1354,662,3254
NM_001098577,1272,1121,1129
NM_001098579,1,0,6035
NM_001098612,3,2,2113
NM_001098614,30,46,3964
NM_001098615,67,35,4362
NM_001098616,214,257,1904
NM_001098620,463,64,3066
NM_001098621,22,21,1277
NM_001098623,74,15,24060
NM_001098624,50,41,6393
NM_001098625,18,9,2399
NM_001098626,2,0,2260
NM_001098629,5,0,2893
NM_001098632,248,77,2025
NM_001098633,249,139,1813
NM_001098634,33,11,5141
NM_001098635,1,0,4196
NM_001098637,74,16,2309
NM_001098638,169,144,7823
NM_001098668,1,0,2201
NM_001098670,6,0,2244
NM_001098671,12,3,2284
NM_001098673,86,46,1266
NM_001098721,21,74,4980
NM_001098722,77,76,5106
NM_001098728,327,97,2105
NM_001098783,49,18,3500
NM_001098784,95,67,1458
NM_001098785,119,62,1448
NM_001098786,116,105,1298
NM_001098787,77,103,2815
NM_001098790,448,163,2008
NM_001098791,369,107,1904
NM_001098794,96,32,3450
NM_001098796,45,0,2417
NM_001098797,51,4,2489
NM_001098798,46,12,2412
NM_001098800,35,5,2584
NM_001098801,46,37,4384
NM_001098802,228,73,2750
NM_001098805,6,0,3517
NM_001098808,65,25,1154
NM_001098811,166,36,2889
NM_001098812,218,87,4076
NM_001098813,192,57,4270
NM_001098814,4,9,4214
NM_001098816,8,1,13548
NM_001098817,136,52,1088
NM_001098818,1,11,5071
NM_001098819,17,13,5124
NM_001098821,1,0,1079
NM_001098822,2,0,931
NM_001098823,1,0,920
NM_001098824,1,0,908
NM_001098825,4,0,739
NM_001098831,25,54,2333
NM_001098832,41,46,2888
NM_001098833,131,149,3593
NM_001098834,11,4,1092
NM_001098844,17,19,5454
NM_001099220,30,34,6897
NM_001099222,34,14,2171
NM_001099223,52,11,2127
NM_001099224,37,0,1566
NM_001099225,77,34,2079
NM_001099269,1,17,3324
NM_001099270,45,72,6563
NM_001099271,33,15,2161
NM_001099272,38,30,8749
NM_001099274,51,46,1850
NM_001099280,38,17,1850
NM_001099281,12,8,1730
NM_001099282,29,19,2069
NM_001099283,23,13,1906
NM_001099284,15,9,2029
NM_001099285,2356,1457,1207
NM_001099286,60,17,1793
NM_001099289,42,15,5614
NM_001099293,57,8,4426
NM_001099294,15,20,6741
NM_001099335,1,0,3337
NM_001099337,61,44,1410
NM_001099338,16,9,3288
NM_001099339,68,59,1908
NM_001099400,18,9,1708
NM_001099401,56,11,1775
NM_001099402,206,4,2606
NM_001099403,2,4,3129
NM_001099404,5,6,8504
NM_001099405,4,2,8450
NM_001099406,159,80,1666
NM_001099407,7,8,3500
NM_001099409,43,15,5180
NM_001099410,1,0,5879
NM_001099411,1,0,5811
NM_001099415,803,104,5865
NM_001099432,171,66,3609
NM_001099433,6,2,3011
NM_001099434,1,0,1349
NM_001099436,45,40,2637
NM_001099437,17,16,2587
NM_001099439,8,7,5511
NM_001099455,16,18,5717
NM_001099625,81,52,2005
NM_001099626,107,47,2057
NM_001099627,68,69,1896
NM_001099638,63,111,3782
NM_001099639,52,108,3741
NM_001099640,2,6,2253
NM_001099642,16,9,4027
NM_001099645,132,116,1962
NM_001099650,109,34,7395
NM_001099652,9,7,3888
NM_001099653,10,14,2090
NM_001099661,381,145,3053
NM_001099666,64,54,10051
NM_001099668,197,132,2938
NM_001099669,200,139,2791
NM_001099670,52,44,1052
NM_001099671,39,18,1049
NM_001099672,45,24,965
NM_001099673,51,27,924
NM_001099677,10,34,9298
NM_001099678,279,179,7683
NM_001099679,70,49,3716
NM_001099681,4,0,2581
NM_001099682,20,9,2566
NM_001099684,2,3,1699
NM_001099691,8,4,4307
NM_001099692,2810,1182,3836
NM_001099693,1208,1230,785
NM_001099694,21,3,6741
NM_001099695,488,272,3167
NM_001099696,504,246,2969
NM_001099697,8,2,3106
NM_001099733,1,0,3187
NM_001099737,46,35,1453
NM_001099743,6,3,3235
NM_001099744,6,3,3238
NM_001099745,2,2,3074
NM_001099747,6,1,2992
NM_001099748,5,4,2995
NM_001099749,1,2,2709
NM_001099750,3,1,3116
NM_001099752,1,3,3084
NM_001099753,9,1,2882
NM_001099754,4,3,2885
NM_001099755,3,3,2680
NM_001099756,2,2,2956
NM_001099771,556,46,4337
NM_001099783,37,17,1589
NM_001099784,493,197,3796
NM_001099791,73,28,2958
NM_001099850,1,0,2124
NM_001099851,1,0,1580
NM_001099855,1,0,3819
NM_001099856,120,59,2069
NM_001099857,134,59,2259
NM_001099858,16,24,1825
NM_001099922,100,47,4163
NM_001099952,57,24,10098
NM_001100,672,50,1492
NM_001100112,1,0,6086
NM_001100118,209,99,2545
NM_001100119,213,134,2639
NM_001100122,264,50,4593
NM_001100159,6,0,2134
NM_001100163,1,0,6313
NM_001100164,57,94,9633
NM_001100165,52,101,9393
NM_001100166,18,77,9291
NM_001100167,5,1,6030
NM_001100169,623,170,2998
NM_001100170,588,124,2968
NM_001100176,58,10,2604
NM_001100389,116,63,4495
NM_001100392,1,0,2224
NM_001100397,5,10,4107
NM_001100398,39,19,6618
NM_001100399,449,165,7176
NM_001100400,313,86,2728
NM_001100407,14,7,2201
NM_001100408,25,12,2109
NM_001100409,90,32,7025
NM_001100411,18,12,3507
NM_001100412,147,93,5386
NM_001100418,136,69,880
NM_001100419,93,48,814
NM_001100420,20,31,5433
NM_001100421,34,30,5370
NM_001100422,16,13,6321
NM_001100423,27,9,6271
NM_001100424,11,14,6114
NM_001100425,40,55,4224
NM_001100426,34,18,3761
NM_001100427,27,42,3758
NM_001100428,22,15,3614
NM_001100429,29,14,3611
NM_001100430,21,10,3485
NM_001100588,106,139,3991
NM_001100590,20,55,7773
NM_001100592,324,179,2628
NM_001100594,65,25,5153
NM_001100595,80,74,2970
NM_001100598,10,1,2212
NM_001100599,9,1,2114
NM_001100603,419,253,2607
NM_001100619,127,36,5005
NM_001100620,182,59,738
NM_001100621,51,75,3546
NM_001100622,65,16,2115
NM_001100623,32,20,4308
NM_001100624,82,84,4644
NM_001100625,66,45,2262
NM_001100626,95,52,3195
NM_001100812,44,26,1451
NM_001100814,123,69,1848
NM_001100816,24,15,1384
NM_001100819,87,62,3712
NM_001100829,31,51,8413
NM_001100873,10,9,1911
NM_001100876,161,101,2137
NM_001100877,100,69,1182
NM_001100878,25,5,3250
NM_001100879,2,5,1011
NM_001100880,11,16,544
NM_001100910,162,76,2374
NM_001100912,17,5,1907
NM_001100913,166,69,6694
NM_001100915,14,5,2911
NM_001101,13551,1953,1812
NM_001101330,2,2,1170
NM_001101340,6,2,2112
NM_001101341,5,3,1486
NM_001101357,1,0,1299
NM_001101372,1,1,3100
NM_001101387,1,0,3466
NM_001101391,12,0,2130
NM_001101404,2,0,1892
NM_001101417,17,5,5374
NM_001101426,10,4,5524
NM_001101648,6,0,4966
NM_001101653,75,35,2848
NM_001101654,143,49,2966
NM_001101662,312,174,3820
NM_001101663,19,19,4773
NM_001101667,61,7,2806
NM_001101669,5,1,4024
NM_001101672,61,76,2946
NM_001101676,4,4,8869
NM_001101800,48,18,5470
NM_001101801,24,14,5344
NM_001101802,91,22,7316
NM_001102,566,101,3725
NM_001102366,2,4,3182
NM_001102367,4,1,2948
NM_001102368,5,2,2781
NM_001102369,3,6,2781
NM_001102371,473,229,4971
NM_001102396,195,121,5503
NM_001102397,240,80,7665
NM_001102398,201,61,7840
NM_001102399,199,72,7674
NM_001102401,73,12,2394
NM_001102402,46,66,2164
NM_001102406,20,8,5360
NM_001102416,2,1,2727
NM_001102420,255,42,5868
NM_001102421,254,40,5731
NM_001102426,36,12,4147
NM_001102445,3,8,3480
NM_001102454,91,43,2936
NM_001102559,31,21,2128
NM_001102560,13,12,771
NM_001102564,89,37,833
NM_001102575,116,67,5219
NM_001102592,1,0,1698
NM_001102594,89,18,2699
NM_001102595,130,19,2534
NM_001102596,66,5,2122
NM_001102600,1,0,1773
NM_001102603,29,5,4336
NM_001102605,47,25,2581
NM_001102608,5,0,8470
NM_001102610,81,40,3442
NM_001102651,42,42,3698
NM_001102653,68,84,7068
NM_001102657,11,1,3333
NM_001102664,103,82,3776
NM_001102667,912,216,1145
NM_001102668,569,182,1058
NM_001102669,27,29,2195
NM_001103,15,7,4913
NM_001103146,156,85,7816
NM_001103147,215,56,7949
NM_001103148,229,71,7732
NM_001103149,140,49,3491
NM_001103154,15,2,488
NM_001103160,21,12,3705
NM_001103161,27,20,3834
NM_001103167,7,10,1980
NM_001103175,5,0,1811
NM_001103176,7,4,2234
NM_001103184,6,4,12505
NM_001104,12,6,2939
NM_001104544,44,29,3425
NM_001104545,36,21,3173
NM_001104546,169,68,4272
NM_001104554,295,547,5476
NM_001104558,28,15,3830
NM_001104577,5,0,2415
NM_001104586,8,8,5356
NM_001104590,1,0,5106
NM_001104595,77,37,3240
NM_001104629,7,6,3638
NM_001104631,5,3,8227
NM_001104647,46,96,4661
NM_001104925,45,66,3831
NM_001105,28,10,3045
NM_001105077,3,4,4900
NM_001105078,6,5,4891
NM_001105079,645,53,4108
NM_001105192,385,81,5735
NM_001105193,1,1,6236
NM_001105194,1,2,6172
NM_001105198,141,95,1738
NM_001105199,166,97,1346
NM_001105203,30,22,3485
NM_001105204,15,14,3167
NM_001105205,42,27,2507
NM_001105206,71,42,7376
NM_001105207,55,46,7372
NM_001105208,26,12,767
NM_001105209,15,6,784
NM_001105214,132,75,3055
NM_001105237,310,137,3927
NM_001105243,75,3,9615
NM_001105244,10,10,5600
NM_001105247,75,30,3615
NM_001105248,95,2362,4916
NM_001105249,85,2535,4742
NM_001105250,46,10,8659
NM_001105251,95,29,7420
NM_001105515,46,22,3076
NM_001105518,10,14,3795
NM_001105520,17,15,1559
NM_001105521,3,0,6488
NM_001105528,2,0,3355
NM_001105529,47,29,8223
NM_001105530,550,217,2755
NM_001105531,65,40,5731
NM_001105533,1,0,2828
NM_001105537,135,34,5924
NM_001105538,1089,225,4105
NM_001105539,251,117,9951
NM_001105540,36,26,4086
NM_001105541,146,32,2514
NM_001105544,63,36,2117
NM_001105545,60,20,2064
NM_001105549,1,0,2942
NM_001105551,2,0,2852
NM_001105556,25,27,2724
NM_001105562,337,52,5879
NM_001105563,48,39,2850
NM_001105564,56,31,2958
NM_001105566,65,24,5890
NM_001105567,85,45,5851
NM_001105568,67,58,7084
NM_001105570,289,78,2967
NM_001105573,42,38,5733
NM_001105574,6,1,1074
NM_001105576,2,0,1590
NM_001105578,6,3,933
NM_001105659,1,5,2862
NM_001105663,14,2,1118
NM_001105677,1,0,2568
NM_001106,182,183,11373
NM_001107,6,8,623
NM_001109,6,7,3301
NM_001109662,267,55,15450
NM_001109689,42,18,6349
NM_001109754,12,9,11330
NM_001109763,4,0,4922
NM_001109891,417,207,1744
NM_001109903,101,26,2898
NM_001109938,45,16,1436
NM_001109974,4,4,4608
NM_001109977,28,17,4576
NM_001110,90,47,5034
NM_001110199,21,16,3624
NM_001110215,12,22,557
NM_001110303,99,63,4344
NM_001110354,6,3,1300
NM_001110360,1,0,1212
NM_001110503,20,11,2784
NM_001110514,56,11,2911
NM_001110556,3010,735,8510
NM_001110781,407,251,6003
NM_001110792,163,35,1695
NM_001110798,39,15,1826
NM_001111,586,481,6671
NM_001111018,30,0,10670
NM_001111019,17,0,8082
NM_001111020,276,98,3712
NM_001111038,5,3,2804
NM_001111039,32,13,2833
NM_001111061,16,2,2500
NM_001111067,48,5,2864
NM_001111077,608,182,3115
NM_001111097,54,15,4095
NM_001111101,58,21,1295
NM_001111112,67,35,5114
NM_001111113,90,38,5090
NM_001111125,26,4,6011
NM_001111270,35,38,2248
NM_001111283,4,2,7370
NM_001111284,4,2,7204
NM_001111298,21,2,4206
NM_001111307,45,1,4779
NM_001111308,24,5,4593
NM_001111309,20,25,4488
NM_001111319,1,0,2708
NM_001111322,658,239,4381
NM_001112,20,5,6907
NM_001112704,13,3,1968
NM_001112706,5,1,3246
NM_001112717,6,0,6089
NM_001112718,3,0,6086
NM_001112726,230,63,6705
NM_001112732,28,14,6417
NM_001112734,60,25,4142
NM_001112736,287,161,8296
NM_001112741,7,4,3134
NM_001112800,51,25,6038
NM_001112801,17,10,6014
NM_001112802,15,25,6032
NM_001112808,14,20,3328
NM_001113178,33,32,13298
NM_001113182,355,115,4807
NM_001113202,1307,551,1041
NM_001113203,1211,481,3171
NM_001113239,275,81,15144
NM_001113324,83,25,997
NM_001113347,234,28,5241
NM_001113348,213,37,5136
NM_001113349,235,59,5087
NM_001113361,46,140,4887
NM_001113363,103,109,4153
NM_001113378,462,229,4749
NM_001113398,10,0,2619
NM_001113402,37,16,2110
NM_001113407,265,110,2104
NM_001113411,5,16,2086
NM_001113434,146,139,7912
NM_001113482,247,93,2858
NM_001113490,2007,718,6945
NM_001113491,103,24,3825
NM_001113492,68,25,4000
NM_001113493,105,45,3986
NM_001113494,68,16,3939
NM_001113495,36,18,3639
NM_001113496,26,14,3234
NM_001113498,12,4,5542
NM_001113511,86,5,5525
NM_001113512,74,23,5375
NM_001113513,119,40,4946
NM_001113525,23,17,4620
NM_001113528,53,15,4345
NM_001113546,116,33,3741
NM_001113547,118,51,3622
NM_001113567,14,0,2819
NM_001113738,281,523,5271
NM_001113755,15,0,1671
NM_001113756,1,12,1843
NM_001114,19,13,6140
NM_001114086,3,0,5974
NM_001114089,126,105,2693
NM_001114090,68,20,2812
NM_001114091,305,130,5871
NM_001114092,99,58,3775
NM_001114093,301,148,3772
NM_001114099,102,3,3308
NM_001114100,83,2,3215
NM_001114106,1,7,2397
NM_001114107,65,33,2708
NM_001114118,210,96,8184
NM_001114120,157,105,5438
NM_001114121,36,29,2683
NM_001114122,44,36,4155
NM_001114123,170,202,2918
NM_001114132,36,27,9058
NM_001114133,8,10,4954
NM_001114134,1,0,2450
NM_001114135,5,0,2555
NM_001114136,13,0,2511
NM_001114138,6,0,2606
NM_001114139,1,2,2503
NM_001114171,6,0,3668
NM_001114172,6,24,5176
NM_001114173,97,57,6091
NM_001114176,164,18,5099
NM_001114182,34,39,4341
NM_001114184,12,18,3665
NM_001114185,74,26,2068
NM_001114309,6,2,3247
NM_001114331,689,97,4154
NM_001114380,1,9,4957
NM_001114382,474,144,5563
NM_001114393,33,18,3248
NM_001114394,46,7,3523
NM_001114395,10,20,4920
NM_001114396,7,10,3195
NM_001114397,127,25,3569
NM_001114403,370,242,1342
NM_001114600,77,133,3695
NM_001114614,140,59,1870
NM_001114617,249,259,3084
NM_001114618,301,286,3170
NM_001114619,215,227,2647
NM_001114620,292,252,2858
NM_001114632,36,5,1422
NM_001114633,27,10,2735
NM_001114634,6,9,7233
NM_001114635,9,21,6874
NM_001114636,110,23,1732
NM_001114726,52,8,2394
NM_001114734,38,16,4943
NM_001114752,78,17,2914
NM_001114753,4,0,3065
NM_001114938,4,1,2250
NM_001114974,30,8,2285
NM_001115007,28,7,5267
NM_001115008,10,9,5468
NM_001115016,52,22,5240
NM_001115113,474,81,6824
NM_001115116,1,0,1993
NM_001115156,537,205,2277
NM_001116,172,68,7727
NM_001117,1,0,3259
NM_001118,29,20,6491
NM_001118888,1,2,5111
NM_001118890,28,10,1079
NM_001119,494,91,3954
NM_001120,324,50,1959
NM_001121,215,113,4348
NM_001122,167,68,2011
NM_001122606,637,59,3752
NM_001122607,5,4,2722
NM_001122608,168,53,2298
NM_001122630,18,12,1763
NM_001122631,49,6,1758
NM_001122633,41,58,5725
NM_001122634,59,42,4782
NM_001122636,3,3,2663
NM_001122646,3,0,2685
NM_001122659,12,9,4306
