name,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,exonStarts,exonEnds,proteinID,length
YBR118W,chrII,+,477670,479047,477670,479047,1,"477670,","479047,",TEF2,1377
YBR123C,chrII,-,484741,486691,484741,486691,1,"484741,","486691,",TFC1,1950
YBR124W,chrII,+,486506,486866,486506,486866,1,"486506,","486866,",YBR124W,360
YBR106W,chrII,+,452657,453224,452657,453224,1,"452657,","453224,",PHO88,567
YBR096W,chrII,+,436020,436713,436020,436713,1,"436020,","436713,",YBR096W,693
YBR080C,chrII,-,398613,400890,398613,400890,1,"398613,","400890,",SEC18,2277
YBR138C,chrII,-,513761,515336,513761,515336,1,"513761,","515336,",YBR138C,1575
YBR114W,chrII,+,467247,469620,467247,469620,1,"467247,","469620,",RAD16,2373
YBR086C,chrII,-,420200,423041,420200,423041,1,"420200,","423041,",IST2,2841
YBR098W,chrII,+,441514,443590,441514,443590,1,"441514,","443590,",MMS4,2076
YBR136W,chrII,+,505667,512774,505667,512774,1,"505667,","512774,",MEC1,7107
YBR120C,chrII,-,480434,480923,480434,480923,1,"480434,","480923,",CBP6,489
YBR110W,chrII,+,458871,460221,458871,460221,1,"458871,","460221,",ALG1,1350
YBR084W,chrII,+,411053,413981,411053,413981,1,"411053,","413981,",MIS1,2928
YBR126W-B,chrII,+,490926,491070,490926,491070,1,"490926,","491070,",YBR126W-B,144
YBR126W-A,chrII,+,490849,491056,490849,491056,1,"490849,","491056,",YBR126W-A,207
YBR081C,chrII,-,401252,405251,401252,405251,1,"401252,","405251,",SPT7,3999
YBR131C-A,chrII,-,497649,497739,497649,497739,1,"497649,","497739,",YBR131C-A,90
YBR125C,chrII,-,487198,488380,487198,488380,1,"487198,","488380,",PTC4,1182
YBR121C-A,chrII,-,482325,482484,482325,482484,1,"482325,","482484,",YBR121C-A,159
YBR093C,chrII,-,429547,430951,429547,430951,1,"429547,","430951,",PHO5,1404
YBR103C-A,chrII,-,449319,449463,449319,449463,1,"449319,","449463,",YBR103C-A,144
YBR083W,chrII,+,409168,410629,409168,410629,1,"409168,","410629,",TEC1,1461
YBR108W,chrII,+,454821,457665,454821,457665,1,"454821,","457665,",AIM3,2844
YBR132C,chrII,-,499651,501442,499651,501442,1,"499651,","501442,",AGP2,1791
YBR177C,chrII,-,584806,586162,584806,586162,1,"584806,","586162,",EHT1,1356
YBR167C,chrII,-,571467,571890,571467,571890,1,"571467,","571890,",POP7,423
YBR147W,chrII,+,536574,537465,536574,537465,1,"536574,","537465,",RTC2,891
YBR141W-A,chrII,+,527166,527262,527166,527262,1,"527166,","527262,",YBR141W-A,96
YBR182C,chrII,-,593505,594864,593505,594864,1,"593505,","594864,",SMP1,1359
YBR202W,chrII,+,625771,628309,625771,628309,1,"625771,","628309,",MCM7,2538
YBR196C-B,chrII,-,614525,614630,614525,614630,1,"614525,","614630,",YBR196C-B,105
YBR185C,chrII,-,599122,599959,599122,599959,1,"599122,","599959,",MBA1,837
YBR215W,chrII,+,653355,655317,653355,655317,2,"653355,653452,","653368,655317,",HPC2,1878
YBR200W,chrII,+,620871,622527,620871,622527,1,"620871,","622527,",BEM1,1656
YBR159W,chrII,+,558684,559728,558684,559728,1,"558684,","559728,",IFA38,1044
YBR169C,chrII,-,573914,575996,573914,575996,1,"573914,","575996,",SSE2,2082
YBR160W,chrII,+,560077,560974,560077,560974,1,"560077,","560974,",CDC28,897
YBR150C,chrII,-,541208,544493,541208,544493,1,"541208,","544493,",TBS1,3285
YBR191W,chrII,+,606269,607140,606269,607140,2,"606269,606668,","606280,607140,",RPL21A,483
YBR143C,chrII,-,530868,532182,530868,532182,1,"530868,","532182,",SUP45,1314
YBR148W,chrII,+,537875,539705,537875,539705,1,"537875,","539705,",YSW1,1830
YBR172C,chrII,-,579149,581372,579149,581372,1,"579149,","581372,",SMY2,2223
YBR161W,chrII,+,561633,562764,561633,562764,1,"561633,","562764,",CSH1,1131
YBR189W,chrII,+,604507,605508,604507,605508,2,"604507,604927,","604514,605508,",RPS9B,588
YBR194W,chrII,+,610037,610409,610037,610409,1,"610037,","610409,",AIM4,372
YBR186W,chrII,+,600552,602360,600552,602360,2,"600552,602216,","602103,602360,",PCH2,1695
YBR164C,chrII,-,567874,568426,567874,568426,1,"567874,","568426,",ARL1,552
YBR211C,chrII,-,646157,647132,646157,647132,1,"646157,","647132,",AME1,975
YBR179C,chrII,-,586546,589114,586546,589114,1,"586546,","589114,",FZO1,2568
YBR154C,chrII,-,548361,549009,548361,549009,1,"548361,","549009,",RPB5,648
YBR144C,chrII,-,533234,533549,533234,533549,1,"533234,","533549,",YBR144C,315
YBR200W-A,chrII,+,622982,623147,622982,623147,1,"622982,","623147,",YBR200W-A,165
YBR206W,chrII,+,634600,634924,634600,634924,1,"634600,","634924,",YBR206W,324
YBR201W,chrII,+,623575,624211,623575,624211,1,"623575,","624211,",DER1,636
YBR199W,chrII,+,618908,620303,618908,620303,1,"618908,","620303,",KTR4,1395
YBR158W,chrII,+,556548,558198,556548,558198,1,"556548,","558198,",AMN1,1650
YBR153W,chrII,+,547459,548194,547459,548194,1,"547459,","548194,",RIB7,735
YBR190W,chrII,+,605965,606277,605965,606277,1,"605965,","606277,",YBR190W,312
YBR182C-A,chrII,-,595360,595555,595360,595555,1,"595360,","595555,",YBR182C-A,195
YBR176W,chrII,+,583719,584658,583719,584658,1,"583719,","584658,",ECM31,939
YBR188C,chrII,-,603684,604107,603684,604107,1,"603684,","604107,",NTC20,423
YBR205W,chrII,+,633621,634836,633621,634836,1,"633621,","634836,",KTR3,1215
YBR183W,chrII,+,596114,597065,596114,597065,1,"596114,","597065,",YPC1,951
YBR165W,chrII,+,568851,569685,568851,569685,1,"568851,","569685,",UBS1,834
YBR178W,chrII,+,586070,586445,586070,586445,1,"586070,","586445,",YBR178W,375
YBR201C-A,chrII,-,624492,624696,624492,624696,1,"624492,","624696,",YBR201C-A,204
YBR149W,chrII,+,539986,541021,539986,541021,1,"539986,","541021,",ARA1,1035
YBR171W,chrII,+,578363,578984,578363,578984,1,"578363,","578984,",SEC66,621
YBR209W,chrII,+,642582,642900,642582,642900,1,"642582,","642900,",YBR209W,318
YBR157C,chrII,-,553542,554310,553542,554310,1,"553542,","554310,",ICS2,768
YBR197C,chrII,-,615202,615856,615202,615856,1,"615202,","615856,",YBR197C,654
YBR187W,chrII,+,602633,603476,602633,603476,1,"602633,","603476,",GDT1,843
YBR145W,chrII,+,533761,534817,533761,534817,1,"533761,","534817,",ADH5,1056
YBR175W,chrII,+,582407,583355,582407,583355,1,"582407,","583355,",SWD3,948
YBR162C,chrII,-,563202,564570,563202,564570,1,"563202,","564570,",TOS1,1368
YBR184W,chrII,+,597362,598934,597362,598934,1,"597362,","598934,",YBR184W,1572
YBR180W,chrII,+,589740,591459,589740,591459,1,"589740,","591459,",DTR1,1719
YBR204C,chrII,-,632253,633381,632253,633381,1,"632253,","633381,",LDH1,1128
YBR198C,chrII,-,616126,618523,616126,618523,1,"616126,","618523,",TAF5,2397
YBR213W,chrII,+,650367,651192,650367,651192,1,"650367,","651192,",MET8,825
YBR152W,chrII,+,546375,547251,546375,547251,1,"546375,","547251,",SPP381,876
YBR196C-A,chrII,-,614023,614173,614023,614173,1,"614023,","614173,",YBR196C-A,150
YBR193C,chrII,-,609081,609753,609081,609753,1,"609081,","609753,",MED8,672
YBR141C,chrII,-,527024,528038,527024,528038,1,"527024,","528038,",BMT2,1014
YBR191W-A,chrII,+,607148,607223,607148,607223,1,"607148,","607223,",YBR191W-A,75
YBR146W,chrII,+,535259,536096,535259,536096,1,"535259,","536096,",MRPS9,837
YBR156C,chrII,-,551103,553200,551103,553200,1,"551103,","553200,",SLI15,2097
YBR151W,chrII,+,545027,545978,545027,545978,1,"545027,","545978,",APD1,951
YBR196C,chrII,-,612235,613900,612235,613900,1,"612235,","613900,",PGI1,1665
YBR168W,chrII,+,572370,573612,572370,573612,1,"572370,","573612,",PEX32,1242
YBR170C,chrII,-,576343,578086,576343,578086,1,"576343,","578086,",NPL4,1743
YBR166C,chrII,-,569841,571200,569841,571200,1,"569841,","571200,",TYR1,1359
YBR214W,chrII,+,651414,652998,651414,652998,1,"651414,","652998,",SDS24,1584
YBR208C,chrII,-,636702,642210,636702,642210,1,"636702,","642210,",DUR1%2C2,5508
YBR203W,chrII,+,629167,631942,629167,631942,1,"629167,","631942,",COS111,2775
YBR163W,chrII,+,565722,567480,565722,567480,1,"565722,","567480,",EXO5,1758
YBR210W,chrII,+,645549,645978,645549,645978,1,"645549,","645978,",ERV15,429
YBR192W,chrII,+,607651,608785,607651,608785,1,"607651,","608785,",RIM2,1134
YBR155W,chrII,+,549770,550928,549770,550928,1,"549770,","550928,",CNS1,1158
YBR174C,chrII,-,582337,582652,582337,582652,1,"582337,","582652,",YBR174C,315
YBR142W,chrII,+,528316,530638,528316,530638,1,"528316,","530638,",MAK5,2322
YBR212W,chrII,+,647885,649904,647885,649904,1,"647885,","649904,",NGR1,2019
YBR173C,chrII,-,581725,582172,581725,582172,1,"581725,","582172,",UMP1,447
YBR162W-A,chrII,+,565230,565428,565230,565428,1,"565230,","565428,",YSY6,198
YBR207W,chrII,+,635145,636543,635145,636543,1,"635145,","636543,",FTH1,1398
YBR195C,chrII,-,610613,611882,610613,611882,1,"610613,","611882,",MSI1,1269
YBR181C,chrII,-,591711,592774,591711,592774,2,"591711,592768,","592416,592774,",RPS6B,711
YBR255W,chrII,+,724455,726540,724455,726540,1,"724455,","726540,",MTC4,2085
YBR241C,chrII,-,702588,704055,702588,704055,1,"702588,","704055,",YBR241C,1467
YBR223C,chrII,-,668662,670297,668662,670297,1,"668662,","670297,",TDP1,1635
YBR259W,chrII,+,730386,732453,730386,732453,1,"730386,","732453,",YBR259W,2067
YBR274W,chrII,+,749593,751177,749593,751177,1,"749593,","751177,",CHK1,1584
YBR280C,chrII,-,762783,764697,762783,764697,1,"762783,","764697,",SAF1,1914
YBR218C,chrII,-,658706,662249,658706,662249,1,"658706,","662249,",PYC2,3543
YBR225W,chrII,+,670626,673329,670626,673329,1,"670626,","673329,",YBR225W,2703
YBR263W,chrII,+,736263,737736,736263,737736,1,"736263,","737736,",SHM1,1473
YBR240C,chrII,-,700489,701842,700489,701842,1,"700489,","701842,",THI2,1353
YBR232C,chrII,-,683372,683732,683372,683732,1,"683372,","683732,",YBR232C,360
YBR222C,chrII,-,666719,668351,666719,668351,1,"666719,","668351,",PCS60,1632
YBR248C,chrII,-,714806,716465,714806,716465,1,"714806,","716465,",HIS7,1659
YBR220C,chrII,-,662994,664677,662994,664677,1,"662994,","664677,",YBR220C,1683
YBR236C,chrII,-,690382,691693,690382,691693,1,"690382,","691693,",ABD1,1311
YBR284W,chrII,+,771238,773632,771238,773632,1,"771238,","773632,",YBR284W,2394
YBR266C,chrII,-,739935,740388,739935,740388,1,"739935,","740388,",SLM6,453
YBR270C,chrII,-,742760,744398,742760,744398,1,"742760,","744398,",BIT2,1638
YBR268W,chrII,+,741298,741616,741298,741616,1,"741298,","741616,",MRPL37,318
YBR256C,chrII,-,727385,728102,727385,728102,1,"727385,","728102,",RIB5,717
YBR244W,chrII,+,707527,708016,707527,708016,1,"707527,","708016,",GPX2,489
YBR216C,chrII,-,655575,657600,655575,657600,1,"655575,","657600,",YBP1,2025
YBR251W,chrII,+,721389,722313,721389,722313,1,"721389,","722313,",MRPS5,924
YBR221C,chrII,-,665152,666253,665152,666253,1,"665152,","666253,",PDB1,1101
YBR238C,chrII,-,695106,697302,695106,697302,1,"695106,","697302,",YBR238C,2196
YBR287W,chrII,+,776570,777854,776570,777854,1,"776570,","777854,",YBR287W,1284
YBR224W,chrII,+,670124,670640,670124,670640,1,"670124,","670640,",YBR224W,516
YBR258C,chrII,-,729733,730162,729733,730162,1,"729733,","730162,",SHG1,429
YBR269C,chrII,-,742159,742576,742159,742576,1,"742159,","742576,",SDH8,417
YBR262C,chrII,-,735719,736040,735719,736040,1,"735719,","736040,",MIC12,321
YBR273C,chrII,-,748060,749371,748060,749371,1,"748060,","749371,",UBX7,1311
YBR290W,chrII,+,782590,783556,782590,783556,1,"782590,","783556,",BSD2,966
YBR233W,chrII,+,683427,684669,683427,684669,1,"683427,","684669,",PBP2,1242
YBR283C,chrII,-,768942,770415,768942,770415,1,"768942,","770415,",SSH1,1473
YBR275C,chrII,-,751355,757106,751355,757106,1,"751355,","757106,",RIF1,5751
YBR257W,chrII,+,728884,729724,728884,729724,1,"728884,","729724,",POP4,840
YBR247C,chrII,-,713003,714455,713003,714455,1,"713003,","714455,",ENP1,1452
YBR217W,chrII,+,657831,658392,657831,658392,1,"657831,","658392,",ATG12,561
YBR239C,chrII,-,698353,699943,698353,699943,1,"698353,","699943,",ERT1,1590
YBR227C,chrII,-,673571,675134,673571,675134,1,"673571,","675134,",MCX1,1563
YBR278W,chrII,+,760293,760899,760293,760899,1,"760293,","760899,",DPB3,606
YBR237W,chrII,+,691968,694518,691968,694518,1,"691968,","694518,",PRP5,2550
YBR265W,chrII,+,738581,739544,738581,739544,1,"738581,","739544,",TSC10,963
YBR271W,chrII,+,744851,746111,744851,746111,1,"744851,","746111,",EFM2,1260
YBR230C,chrII,-,679548,680050,679548,680050,2,"679548,680039,","679942,680050,",OM14,405
YBR233W-A,chrII,+,684976,685261,684976,685261,1,"684976,","685261,",DAD3,285
YBR243C,chrII,-,705446,706793,705446,706793,1,"705446,","706793,",ALG7,1347
YBR289W,chrII,+,779666,782384,779666,782384,1,"779666,","782384,",SNF5,2718
YBR234C,chrII,-,685437,686592,685437,686592,1,"685437,","686592,",ARC40,1155
YBR261C,chrII,-,734831,735530,734831,735530,1,"734831,","735530,",TAE1,699
YBR286W,chrII,+,774699,776313,774699,776313,1,"774699,","776313,",APE3,1614
YBR252W,chrII,+,722610,723054,722610,723054,1,"722610,","723054,",DUT1,444
YBR282W,chrII,+,768239,768680,768239,768680,1,"768239,","768680,",MRPL27,441
YBR229C,chrII,-,676356,679221,676356,679221,1,"676356,","679221,",ROT2,2865
YBR276C,chrII,-,757619,760043,757619,760043,1,"757619,","760043,",PPS1,2424
YBR250W,chrII,+,719032,720604,719032,720604,1,"719032,","720604,",SPO23,1572
YBR231C,chrII,-,682178,683090,682178,683090,1,"682178,","683090,",SWC5,912
YBR291C,chrII,-,783672,784572,783672,784572,1,"783672,","784572,",CTP1,900
YBR223W-A,chrII,+,668720,668840,668720,668840,1,"668720,","668840,",YBR223W-A,120
YBR226C,chrII,-,673154,673565,673154,673565,1,"673154,","673565,",YBR226C,411
YBR279W,chrII,+,761256,762594,761256,762594,1,"761256,","762594,",PAF1,1338
YBR221W-A,chrII,+,666537,666642,666537,666642,1,"666537,","666642,",YBR221W-A,105
YBR264C,chrII,-,737769,738369,737769,738369,1,"737769,","738369,",YPT10,600
YBR246W,chrII,+,711590,712754,711590,712754,1,"711590,","712754,",RRT2,1164
YBR254C,chrII,-,723735,724263,723735,724263,1,"723735,","724263,",TRS20,528
YBR288C,chrII,-,778011,779463,778011,779463,1,"778011,","779463,",APM3,1452
YBR292C,chrII,-,784701,785073,784701,785073,1,"784701,","785073,",YBR292C,372
YBR272C,chrII,-,746360,747803,746360,747803,1,"746360,","747803,",HSM3,1443
YBR249C,chrII,-,716881,717994,716881,717994,1,"716881,","717994,",ARO4,1113
YBR281C,chrII,-,764969,767606,764969,767606,1,"764969,","767606,",DUG2,2637
YBR230W-A,chrII,+,680361,680562,680361,680562,1,"680361,","680562,",YBR230W-A,201
YBR245C,chrII,-,708149,711539,708149,711539,1,"708149,","711539,",ISW1,3390
YBR219C,chrII,-,662498,663303,662498,663303,2,"662498,663002,","662581,663303,",YBR219C,384
YBR242W,chrII,+,704669,705386,704669,705386,1,"704669,","705386,",YBR242W,717
YBR285W,chrII,+,773921,774356,773921,774356,1,"773921,","774356,",YBR285W,435
YBR255C-A,chrII,-,726617,727074,726617,727074,2,"726617,727011,","726917,727074,",YBR255C-A,363
YBR253W,chrII,+,723269,723635,723269,723635,1,"723269,","723635,",SRB6,366
YBR260C,chrII,-,732638,734639,732638,734639,1,"732638,","734639,",RGD1,2001
YBR235W,chrII,+,686900,690263,686900,690263,1,"686900,","690263,",VHC1,3363
YBR267W,chrII,+,739840,741022,739840,741022,1,"739840,","741022,",REI1,1182
YBR228W,chrII,+,675312,676227,675312,676227,1,"675312,","676227,",SLX1,915
YBR277C,chrII,-,760214,760616,760214,760616,1,"760214,","760616,",YBR277C,402
YBR297W,chrII,+,800522,801929,800522,801929,1,"800522,","801929,",MAL33,1407
YBR293W,chrII,+,787005,788430,787005,788430,1,"787005,","788430,",VBA2,1425
YBR294W,chrII,+,789234,791814,789234,791814,1,"789234,","791814,",SUL1,2580
YBR301W,chrII,+,809056,809419,809056,809419,1,"809056,","809419,",PAU24,363
YBR298C-A,chrII,-,805034,805256,805034,805256,1,"805034,","805256,",YBR298C-A,222
YBR302C,chrII,-,810339,811479,810339,811479,1,"810339,","811479,",COS2,1140
YBR295W,chrII,+,792848,796499,792848,796499,1,"792848,","796499,",PCA1,3651
YBR298C,chrII,-,802630,804475,802630,804475,1,"802630,","804475,",MAL31,1845
YBR296C,chrII,-,796797,798522,796797,798522,1,"796797,","798522,",PHO89,1725
YBR299W,chrII,+,805350,807105,805350,807105,1,"805350,","807105,",MAL32,1755
YBR296C-A,chrII,-,800122,800242,800122,800242,1,"800122,","800242,",YBR296C-A,120
YBR300C,chrII,-,808599,809097,808599,809097,1,"808599,","809097,",YBR300C,498
YDR293C,chrIV,-,1045639,1049392,1045639,1049392,1,"1045639,","1049392,",SSD1,3753
YDR166C,chrIV,-,786305,789221,786305,789221,1,"786305,","789221,",SEC5,2916
YDR100W,chrIV,+,655012,655444,655012,655444,1,"655012,","655444,",TVP15,432
YDL033C,chrIV,-,392658,393912,392658,393912,1,"392658,","393912,",SLM3,1254
YDR036C,chrIV,-,523210,524713,523210,524713,1,"523210,","524713,",EHD3,1503
YDL112W,chrIV,+,258914,263225,258914,263225,1,"258914,","263225,",TRM3,4311
YDL183C,chrIV,-,130870,131833,130870,131833,1,"130870,","131833,",YDL183C,963
YDR496C,chrIV,-,1441432,1443403,1441432,1443403,1,"1441432,","1443403,",PUF6,1971
YDR420W,chrIV,+,1306266,1311675,1306266,1311675,1,"1306266,","1311675,",HKR1,5409
YDR351W,chrIV,+,1178665,1181260,1178665,1181260,1,"1178665,","1181260,",SBE2,2595
YDL196W,chrIV,+,106740,107070,106740,107070,1,"106740,","107070,",YDL196W,330
YDL214C,chrIV,-,74445,76545,74445,76545,1,"74445,","76545,",PRR2,2100
YDL226C,chrIV,-,51114,52173,51114,52173,1,"51114,","52173,",GCS1,1059
YDL184C,chrIV,-,130406,130484,130406,130484,1,"130406,","130484,",RPL41A,78
YDL238C,chrIV,-,28984,30454,28984,30454,1,"28984,","30454,",GUD1,1470
YDL185C-A,chrIV,-,126607,126835,126607,126835,1,"126607,","126835,",YDL185C-A,228
YDL199C,chrIV,-,101289,103353,101289,103353,1,"101289,","103353,",YDL199C,2064
YDL246C,chrIV,-,8682,9756,8682,9756,1,"8682,","9756,",SOR2,1074
YDL191W,chrIV,+,117663,118517,117663,118517,2,"117663,118157,","117666,118517,",RPL35A,363
YDL188C,chrIV,-,123864,124998,123864,124998,1,"123864,","124998,",PPH22,1134
YDL231C,chrIV,-,38866,42244,38866,42244,1,"38866,","42244,",BRE4,3378
YDL209C,chrIV,-,86206,87226,86206,87226,1,"86206,","87226,",CWC2,1020
YDL192W,chrIV,+,116320,116866,116320,116866,1,"116320,","116866,",ARF1,546
YDL245C,chrIV,-,11656,13360,11656,13360,1,"11656,","13360,",HXT15,1704
YDL210W,chrIV,+,84269,85985,84269,85985,1,"84269,","85985,",UGA4,1716
YDL242W,chrIV,+,18958,19312,18958,19312,1,"18958,","19312,",YDL242W,354
YDL203C,chrIV,-,96081,97953,96081,97953,1,"96081,","97953,",ACK1,1872
YDL239C,chrIV,-,26402,28775,26402,28775,1,"26402,","28775,",ADY3,2373
YDL247W-A,chrIV,+,3761,3836,3761,3836,1,"3761,","3836,",YDL247W-A,75
YDL240C-A,chrIV,-,22470,22608,22470,22608,1,"22470,","22608,",YDL240C-A,138
YDL221W,chrIV,+,62010,62562,62010,62562,1,"62010,","62562,",YDL221W,552
YDL195W,chrIV,+,107207,111029,107207,111029,1,"107207,","111029,",SEC31,3822
YDL235C,chrIV,-,33414,33918,33414,33918,1,"33414,","33918,",YPD1,504
YDL241W,chrIV,+,20634,21006,20634,21006,1,"20634,","21006,",YDL241W,372
YDL207W,chrIV,+,88247,89864,88247,89864,1,"88247,","89864,",GLE1,1617
YDL232W,chrIV,+,38486,38597,38486,38597,1,"38486,","38597,",OST4,111
YDL185W,chrIV,+,126786,130002,126786,130002,1,"126786,","130002,",VMA1,3216
YDL215C,chrIV,-,70639,73918,70639,73918,1,"70639,","73918,",GDH2,3279
YDL225W,chrIV,+,52444,54100,52444,54100,1,"52444,","54100,",SHS1,1656
YDL189W,chrIV,+,122077,123589,122215,123589,1,"122215,","123589,",RBS1,1374
YDL198C,chrIV,-,103648,104551,103648,104551,1,"103648,","104551,",GGC1,903
YDL202W,chrIV,+,98474,99224,98474,99224,1,"98474,","99224,",MRPL11,750
YDL218W,chrIV,+,66492,67446,66492,67446,1,"66492,","67446,",YDL218W,954
YDL186W,chrIV,+,125615,126449,125615,126449,1,"125615,","126449,",YDL186W,834
YDL219W,chrIV,+,65241,65765,65241,65765,2,"65241,65377,","65306,65765,",DTD1,453
YDL194W,chrIV,+,111579,114234,111579,114234,1,"111579,","114234,",SNF3,2655
YDL220C,chrIV,-,62243,65018,62243,65018,1,"62243,","65018,",CDC13,2775
YDL236W,chrIV,+,32295,33234,32295,33234,1,"32295,","33234,",PHO13,939
YDL200C,chrIV,-,100500,101067,100500,101067,1,"100500,","101067,",MGT1,567
YDL211C,chrIV,-,79293,80412,79293,80412,1,"79293,","80412,",YDL211C,1119
YDL244W,chrIV,+,16203,17226,16203,17226,1,"16203,","17226,",THI13,1023
YDL229W,chrIV,+,44064,45906,44064,45906,1,"44064,","45906,",SSB1,1842
YDL206W,chrIV,+,90175,92464,90175,92464,1,"90175,","92464,",YDL206W,2289
YDL208W,chrIV,+,87511,87982,87511,87982,1,"87511,","87982,",NHP2,471
YDL212W,chrIV,+,78425,79058,78425,79058,1,"78425,","79058,",SHR3,633
YDL190C,chrIV,-,118706,121592,118706,121592,1,"118706,","121592,",UFD2,2886
YDL224C,chrIV,-,54396,56346,54396,56346,1,"54396,","56346,",WHI4,1950
YDL240W,chrIV,+,22822,25876,22822,25876,1,"22822,","25876,",LRG1,3054
YDL233W,chrIV,+,36796,38173,36796,38173,1,"36796,","38173,",MFG1,1377
YDL223C,chrIV,-,57264,60405,57264,60405,1,"57264,","60405,",HBT1,3141
YDL216C,chrIV,-,68996,70319,68996,70319,1,"68996,","70319,",RRI1,1323
YDL228C,chrIV,-,45276,45918,45276,45918,1,"45276,","45918,",YDL228C,642
YDL247W,chrIV,+,5984,7814,5984,7814,1,"5984,","7814,",MPH2,1830
YDL205C,chrIV,-,92761,93745,92761,93745,1,"92761,","93745,",HEM3,984
YDL230W,chrIV,+,42699,43707,42699,43707,1,"42699,","43707,",PTP1,1008
YDL201W,chrIV,+,99560,100421,99560,100421,1,"99560,","100421,",TRM8,861
YDL197C,chrIV,-,104916,106494,104916,106494,1,"104916,","106494,",ASF2,1578
YDL187C,chrIV,-,125508,125838,125508,125838,1,"125508,","125838,",YDL187C,330
YDL217C,chrIV,-,67982,68606,67982,68606,1,"67982,","68606,",TIM22,624
YDL227C,chrIV,-,46270,48031,46270,48031,1,"46270,","48031,",HO,1761
YDL237W,chrIV,+,30656,31829,30656,31829,1,"30656,","31829,",AIM6,1173
YDL248W,chrIV,+,1801,2953,1801,2953,1,"1801,","2953,",COS7,1152
YDL243C,chrIV,-,17576,18566,17576,18566,1,"17576,","18566,",AAD4,990
YDL222C,chrIV,-,60871,61801,60871,61801,1,"60871,","61801,",FMP45,930
YDL234C,chrIV,-,34236,36477,34236,36477,1,"34236,","36477,",GYP7,2241
YDL193W,chrIV,+,114671,115799,114671,115799,1,"114671,","115799,",NUS1,1128
YDL213C,chrIV,-,77288,77966,77288,77966,1,"77288,","77966,",NOP6,678
YDL204W,chrIV,+,94604,95786,94604,95786,1,"94604,","95786,",RTN2,1182
YDL159W-A,chrIV,+,172181,172313,172181,172313,1,"172181,","172313,",YDL159W-A,132
YDL146W,chrIV,+,192749,194225,192749,194225,1,"192749,","194225,",LDB17,1476
YDL170W,chrIV,+,156317,157904,156317,157904,1,"156317,","157904,",UGA3,1587
YDL166C,chrIV,-,163448,164042,163448,164042,1,"163448,","164042,",FAP7,594
YDL119C,chrIV,-,246688,247612,246688,247612,1,"246688,","247612,",YDL119C,924
YDL158C,chrIV,-,173865,174174,173865,174174,1,"173865,","174174,",YDL158C,309
YDL129W,chrIV,+,231023,231899,231023,231899,1,"231023,","231899,",YDL129W,876
YDL120W,chrIV,+,245922,246447,245922,246447,1,"245922,","246447,",YFH1,525
YDL156W,chrIV,+,174917,176486,174917,176486,1,"174917,","176486,",CMR1,1569
YDL136W,chrIV,+,217599,218367,217599,218367,2,"217599,218007,","217602,218367,",RPL35B,363
YDL173W,chrIV,+,148190,149078,148190,149078,1,"148190,","149078,",PAR32,888
YDL163W,chrIV,+,166955,167258,166955,167258,1,"166955,","167258,",YDL163W,303
YDL142C,chrIV,-,201718,202570,201718,202570,1,"201718,","202570,",CRD1,852
YDL174C,chrIV,-,145825,147589,145825,147589,1,"145825,","147589,",DLD1,1764
YDL155W,chrIV,+,176772,178056,176772,178056,1,"176772,","178056,",CLB3,1284
YDL139C,chrIV,-,211374,212046,211374,212046,1,"211374,","212046,",SCM3,672
YDL125C,chrIV,-,239018,239606,239018,239606,2,"239018,239509,","239398,239606,",HNT1,477
YDL181W,chrIV,+,135178,135436,135178,135436,1,"135178,","135436,",INH1,258
YDL132W,chrIV,+,224303,226751,224303,226751,1,"224303,","226751,",CDC53,2448
YDL147W,chrIV,+,190923,192261,190923,192261,1,"190923,","192261,",RPN5,1338
YDL149W,chrIV,+,184924,187918,184924,187918,1,"184924,","187918,",ATG9,2994
YDL177C,chrIV,-,141208,141721,141208,141721,1,"141208,","141721,",YDL177C,513
YDL167C,chrIV,-,160994,163154,160994,163154,1,"160994,","163154,",NRP1,2160
YDL178W,chrIV,+,139521,141114,139521,141114,1,"139521,","141114,",DLD2,1593
YDL117W,chrIV,+,248580,251238,248580,251238,1,"248580,","251238,",CYK3,2658
YDL182W,chrIV,+,133436,134723,133436,134723,1,"133436,","134723,",LYS20,1287
YDL114W-A,chrIV,+,254934,255048,254934,255048,1,"254934,","255048,",YDL114W-A,114
YDL135C,chrIV,-,218679,219288,218679,219288,1,"218679,","219288,",RDI1,609
YDL121C,chrIV,-,245132,245582,245132,245582,1,"245132,","245582,",YDL121C,450
YDL143W,chrIV,+,199995,201582,199995,201582,1,"199995,","201582,",CCT4,1587
YDL161W,chrIV,+,167713,169078,167713,169078,1,"167713,","169078,",ENT1,1365
YDL118W,chrIV,+,247301,247682,247301,247682,1,"247301,","247682,",YDL118W,381
YDL113C,chrIV,-,256632,258555,256632,258555,1,"256632,","258555,",ATG20,1923
YDL131W,chrIV,+,227392,228715,227392,228715,1,"227392,","228715,",LYS21,1323
YDL172C,chrIV,-,148606,149086,148606,149086,1,"148606,","149086,",YDL172C,480
YDL164C,chrIV,-,164986,167254,164986,167254,1,"164986,","167254,",CDC9,2268
YDL151C,chrIV,-,183317,183899,183317,183899,1,"183317,","183899,",BUD30,582
YDL116W,chrIV,+,251565,253746,251565,253746,1,"251565,","253746,",NUP84,2181
